Αγαυη	Ἀγαύη
φλογερος	φλογερός
φονιος	φόνιος
φρικτος	φρικτός
φυτευω	φυτεύω
χαρασσω	χαράσσω
χειλος	χεῖλος
χειμεριος	χειμέριος
χευμα	χεῦμα
χευω	χεῦω
χηλη	χηλή
χθονιος	χθόνιος
χορεια	χορεία
χορος	χορός
χρεω	χρεώ
χριω	χρίω
χρυση	χρυσῆ
ψαμαθος	ψάμαθος
ψευδαλεος	ψευδαλέος
ωκυπορος	ὠκύπορος
ωμος	ὦμος
βιος	βιός
γαμιος	γάμιος
ος	ὅς
ποτε	ποτέ
ποτος	ποτός
Ἀγαύῃ	Ἀγαύη
Ἀλκινόος	Ἀλκίνοος
Ἀλφειός	Ἀλφειός
Ἀργολίς	Ἀργολίς
Ἄργος	Ἄργος
Ἄρες	Ἄρης
Ἅρης	Ἄρης
Ἀτθὶς	Ἀτθίς
Βακχιάς	Βακχιάς
Βασσαρίς	Βασσαρίς
Βερόῃ	Βερόη
Δηριάδῃς	Δηριάδης
Δολῖος	Δολῖος
Δουλίχιον	Δουλίχιον
Δρυάς	Δρυάς
Ἐνυώ	Ἐνυώ
Ἑσπερῖος	Ἑσπέριος
Ἠριδανός	Ἠριδανός
Ἰκάριος	Ἰκάριος
Ἰλισσός	Ἰλισσός
Ἰνδός	Ἰνδός
Ἰνδῴος	Ἰνδῷος
Ἰνὼ	Ἰνώ
Καβειρώ	Καβειρώ
Κασσιέπεια	Κασσιέπεια
Καύκασος	Καύκασος
Κέφαλος	Κέφαλος
Κυθέρεια	Κυθέρεια
Κυπριδῖος	Κυπρίδιος
Μαίονια	Μαιονία
Νεοπτόλεμος	Νεοπτόλεμος
Νηρεΐς	Νηρεΐς
Νηρεὺς	Νηρεύς
Νικαία	Νίκαια
Νομίος	Νομίος
Ξάνθος	Ξάνθος
Ὀρχομενὸς	Ὀρχομενός
Πακτωλός	Πακτωλός
Πενθῆς	Πενθής
Περσεφόνεια	Περσεφόνεια
Πηνελοπεία	Πηνελόπεια
Πηνελοπείῃ	Πηνελοπείη
Πρωτεύς	Πρωτεύς
Σατύρος	Σάτυρος
Σειληνός	Σειληνός
Σεμέλῃ	Σεμέλη
Σικελός	Σικελός
Σκύρος	Σκύρος
Σταφύλος	Στάφυλος
Ταφίος	Τάφιος
Τηλέμαχός	Τηλέμαχος
Τιτηνὶς	Τιτηνίς
Τιτυὸς	Τιτυός
Τρώϊος	Τρώϊος
Τυφών	Τυφῶν
Φαιῆκες	Φαίηκες
Φαίηκς	 Φαίηξ
ἁβρός	ἁβρός
ἀγακλυτὸς	ἀγακλυτός
ἄγαμαί	ἄγαμαι
ἀγλαΐα	ἀγλαΐα
ἄγνωστος	ἄγνωστος
ἄγος	ἄγος
ἀγραύλος	ἄγραυλος
ἀγρύπνος	ἀγρύπνος
ἀγχέμαχος	ἀγχέμαχος
ἁδινός	ἀδινός
ἀείδω	ἀείδω
ἀεικέλιος	ἀεικέλιος
ἀέξω	ἀέξω
ἅζομαι	ἅζομαι
ἀήτῃς	ἀήτης
ἁθρόος	ἀθρόος
